comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2018,1,2,2,8,1,5,1,4,8,6,3,NA
Buin,2018,24,25,35,47,30,50,32,40,37,33,41,38
Calera de Tango,2018,6,14,13,9,9,15,9,9,9,11,8,9
Cerrillos,2018,38,31,29,27,29,41,43,49,29,35,41,32
Cerro Navia,2018,70,61,67,59,99,84,83,103,90,77,76,75
Colina,2018,34,37,32,31,41,45,59,61,40,43,45,55
Conchalí,2018,66,58,66,80,83,97,110,127,75,77,58,70
Curacaví,2018,14,14,13,12,13,18,22,18,19,13,13,12
El Bosque,2018,71,72,73,62,99,99,111,97,89,84,91,97
El Monte,2018,15,9,13,19,14,27,9,18,13,14,18,17
Estación Central,2018,63,50,63,60,69,88,103,91,75,75,76,68
Huechuraba,2018,50,30,39,34,46,47,50,55,47,44,40,55
Independencia,2018,74,56,65,56,58,78,89,82,59,86,61,82
Isla de Maipo,2018,21,10,7,10,12,17,25,11,14,16,9,17
La Cisterna,2018,54,45,55,50,62,82,64,88,56,64,55,52
La Florida,2018,156,139,143,174,187,200,186,199,161,199,159,171
La Granja,2018,57,63,62,41,59,68,72,90,80,58,58,57
La Pintana,2018,78,67,76,71,87,85,107,99,86,98,67,78
La Reina,2018,46,46,56,53,44,49,50,58,60,52,43,36
Lampa,2018,25,29,26,30,39,38,27,34,40,36,29,31
Las Condes,2018,118,123,147,145,166,195,184,192,147,146,158,148
Lo Barnechea,2018,30,20,30,27,30,32,32,30,40,23,30,27
Lo Espejo,2018,64,43,55,50,61,92,73,87,51,67,52,53
Lo Prado,2018,45,49,48,60,51,59,61,59,61,60,56,41
Macul,2018,68,47,59,54,52,74,73,92,76,59,49,62
Maipú,2018,186,149,188,186,182,220,221,253,196,219,167,170
María Pinto,2018,9,8,3,6,3,10,11,6,4,7,6,7
Melipilla,2018,59,57,63,60,69,77,78,64,77,54,60,52
Ñuñoa,2018,88,83,98,109,129,112,142,146,123,109,123,103
Padre Hurtado,2018,30,20,27,24,26,25,32,28,31,20,28,22
Paine,2018,17,22,25,21,27,34,32,25,28,36,25,24
Pedro Aguirre Cerda,2018,61,54,64,53,71,69,86,86,78,56,78,65
Peñaflor,2018,34,39,35,35,41,37,62,43,48,34,41,42
Peñalolén,2018,91,80,105,92,127,123,119,154,115,117,84,88
Pirque,2018,13,6,12,8,17,15,10,9,8,6,4,13
Providencia,2018,94,71,106,80,99,111,101,120,90,65,81,88
Pudahuel,2018,64,87,88,83,87,94,119,94,96,96,85,91
Puente Alto,2018,169,192,227,221,202,208,257,231,224,206,180,205
Quilicura,2018,56,49,50,44,58,51,64,82,63,60,70,43
Quinta Normal,2018,57,59,61,65,70,92,88,79,73,67,74,54
Recoleta,2018,75,83,87,96,100,119,105,98,122,79,96,83
Renca,2018,68,56,64,58,62,86,88,81,63,57,71,82
San Bernardo,2018,113,133,133,150,156,155,167,150,127,117,123,121
San Joaquín,2018,60,49,50,52,65,60,64,76,82,50,45,60
San José de Maipo,2018,5,9,12,7,11,5,13,6,9,12,7,4
San Miguel,2018,52,59,82,65,75,62,69,91,85,58,74,60
San Pedro,2018,2,2,4,8,3,7,4,5,4,5,4,3
San Ramón,2018,56,44,41,57,58,61,66,68,55,63,50,60
Santiago,2018,115,113,106,121,141,151,146,170,126,132,135,135
Talagante,2018,33,18,34,27,25,40,31,36,30,40,37,34
Tiltil,2018,6,5,5,5,9,9,7,11,12,7,11,10
Vitacura,2018,46,34,29,51,51,52,46,44,42,36,44,39
