comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2010,4,3,3,NA,3,1,5,4,6,2,1,6
Buin,2010,29,30,24,30,39,26,54,35,26,34,35,30
Calera de Tango,2010,8,8,2,10,6,4,7,11,11,6,7,16
Cerrillos,2010,35,37,34,32,52,34,52,40,35,26,31,25
Cerro Navia,2010,50,55,64,63,73,82,96,87,84,79,63,69
Colina,2010,34,27,34,37,40,29,45,33,51,42,24,27
Conchalí,2010,56,69,64,73,100,77,102,98,98,77,63,78
Curacaví,2010,15,11,9,15,9,16,23,16,18,16,11,9
El Bosque,2010,72,70,76,83,87,74,102,110,84,87,66,92
El Monte,2010,10,10,15,16,10,15,17,14,10,14,12,22
Estación Central,2010,77,74,55,83,80,74,84,91,86,72,76,59
Huechuraba,2010,35,37,30,28,35,29,35,46,40,34,23,30
Independencia,2010,72,60,81,76,77,86,108,96,110,72,51,68
Isla de Maipo,2010,12,12,7,9,13,16,16,15,19,10,14,11
La Cisterna,2010,47,54,52,55,69,61,67,67,66,69,46,47
La Florida,2010,164,147,139,140,137,179,197,202,180,176,133,130
La Granja,2010,57,42,59,54,59,67,60,69,70,67,46,53
La Pintana,2010,64,61,72,60,79,81,72,95,89,58,51,63
La Reina,2010,44,34,44,51,57,57,61,59,48,52,44,48
Lampa,2010,25,18,29,20,26,32,31,33,40,16,14,12
Las Condes,2010,120,120,150,129,143,136,147,167,140,147,121,134
Lo Barnechea,2010,28,16,22,18,21,28,25,28,18,21,22,15
Lo Espejo,2010,67,60,50,69,49,86,73,72,84,83,43,56
Lo Prado,2010,46,45,42,46,50,68,61,67,42,62,39,48
Macul,2010,55,51,45,49,67,79,71,66,55,50,48,64
Maipú,2010,149,140,172,153,169,189,196,193,185,155,156,149
María Pinto,2010,5,5,7,9,4,4,10,8,11,4,5,1
Melipilla,2010,55,48,43,47,74,67,61,60,57,55,38,47
Ñuñoa,2010,107,92,109,86,113,123,163,146,143,126,97,108
Padre Hurtado,2010,13,24,12,18,13,23,23,23,20,15,17,20
Paine,2010,18,25,28,15,15,28,21,38,23,23,21,20
Pedro Aguirre Cerda,2010,73,40,70,59,74,74,95,89,77,79,61,77
Peñaflor,2010,33,23,30,30,30,43,39,51,35,40,34,34
Peñalolén,2010,88,60,83,96,108,100,119,121,86,87,86,81
Pirque,2010,6,7,10,9,4,9,11,14,11,8,6,9
Providencia,2010,101,77,74,104,99,94,129,113,105,90,76,88
Pudahuel,2010,75,74,55,67,66,98,96,81,79,84,67,80
Puente Alto,2010,155,147,131,167,222,184,201,228,197,194,192,162
Quilicura,2010,37,49,29,31,50,53,49,51,49,38,35,43
Quinta Normal,2010,68,47,57,56,89,67,113,76,84,93,69,58
Recoleta,2010,75,84,75,86,105,116,118,136,114,85,87,93
Renca,2010,60,48,58,69,62,75,68,67,64,80,45,50
San Bernardo,2010,100,85,95,95,126,103,142,151,114,122,100,88
San Joaquín,2010,70,40,57,65,64,75,59,103,66,53,65,63
San José de Maipo,2010,6,7,7,6,7,9,5,6,6,8,6,4
San Miguel,2010,52,48,71,67,61,80,94,88,84,65,54,130
San Pedro,2010,3,2,3,4,4,5,6,5,6,2,5,5
San Ramón,2010,47,45,52,46,58,64,58,63,58,50,59,44
Santiago,2010,126,107,106,119,122,123,144,164,163,129,116,108
Talagante,2010,19,28,21,17,33,31,33,34,30,24,19,25
Tiltil,2010,6,2,5,8,9,7,7,14,4,5,7,4
Vitacura,2010,39,43,35,56,41,34,51,50,32,37,38,28
