comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2006,3,NA,4,2,2,2,1,3,3,3,3,2
Buin,2006,22,17,23,32,23,23,30,29,35,24,24,30
Calera de Tango,2006,4,5,4,3,9,7,5,9,8,5,8,7
Cerrillos,2006,29,16,25,42,20,33,44,39,25,39,27,28
Cerro Navia,2006,60,49,60,69,66,68,75,76,78,57,49,69
Colina,2006,22,34,28,22,30,24,25,30,26,23,24,28
Conchalí,2006,73,51,56,68,82,71,87,76,76,76,65,67
Curacaví,2006,5,11,9,9,10,15,12,10,14,13,6,9
El Bosque,2006,59,62,55,63,69,86,92,66,72,61,67,62
El Monte,2006,10,15,10,11,13,8,13,17,9,16,14,13
Estación Central,2006,74,60,55,66,83,76,74,95,83,68,69,72
Huechuraba,2006,23,22,29,35,26,25,31,34,23,32,22,34
Independencia,2006,80,66,67,61,65,56,80,81,78,64,62,81
Isla de Maipo,2006,19,10,14,15,11,9,13,13,13,20,8,9
La Cisterna,2006,51,40,45,52,60,64,65,68,60,40,45,52
La Florida,2006,124,107,120,123,139,141,171,138,172,132,124,138
La Granja,2006,52,37,54,58,64,61,74,58,49,60,53,47
La Pintana,2006,64,44,49,47,77,75,83,71,69,55,49,69
La Reina,2006,37,39,49,36,42,52,46,48,41,45,45,49
Lampa,2006,14,16,15,7,11,18,24,17,18,10,17,20
Las Condes,2006,131,96,113,125,119,127,117,139,119,135,115,114
Lo Barnechea,2006,28,14,17,17,20,18,28,18,17,14,13,14
Lo Espejo,2006,55,44,56,50,59,59,63,61,59,61,43,52
Lo Prado,2006,49,37,39,51,46,54,39,51,44,58,48,45
Macul,2006,39,40,44,47,52,51,52,56,56,43,49,58
Maipú,2006,127,90,137,125,130,169,172,153,124,128,124,137
María Pinto,2006,5,2,7,4,9,9,2,6,7,2,3,8
Melipilla,2006,38,32,44,46,51,53,55,53,58,46,35,43
Ñuñoa,2006,94,96,121,96,95,138,124,125,93,91,105,113
Padre Hurtado,2006,11,10,17,11,16,10,14,16,15,15,14,15
Paine,2006,22,9,16,16,14,14,19,23,20,16,15,10
Pedro Aguirre Cerda,2006,66,40,63,78,67,72,87,77,71,51,60,63
Peñaflor,2006,31,25,24,30,25,40,37,28,40,35,25,31
Peñalolén,2006,61,62,72,76,76,84,82,89,100,85,70,93
Pirque,2006,6,4,8,6,10,3,6,11,8,5,11,11
Providencia,2006,108,67,89,69,91,100,90,103,95,85,92,78
Pudahuel,2006,70,71,63,63,65,75,71,73,71,75,63,56
Puente Alto,2006,157,126,114,126,142,129,160,198,148,124,149,147
Quilicura,2006,40,33,36,26,31,28,44,37,28,34,31,37
Quinta Normal,2006,65,37,68,56,74,73,75,86,72,77,68,66
Recoleta,2006,88,70,81,97,76,107,99,99,97,70,88,78
Renca,2006,63,39,56,59,65,62,61,62,57,59,59,59
San Bernardo,2006,94,92,107,117,110,113,129,139,135,108,96,106
San Joaquín,2006,71,39,57,60,56,53,61,63,52,47,54,43
San José de Maipo,2006,6,4,5,8,7,9,12,9,1,10,5,4
San Miguel,2006,56,44,55,35,79,78,70,93,79,75,51,66
San Pedro,2006,5,8,4,1,6,3,4,3,6,4,2,4
San Ramón,2006,47,47,31,49,45,58,45,59,50,41,35,45
Santiago,2006,107,123,95,118,111,109,132,141,100,131,106,111
Talagante,2006,28,19,27,25,21,20,21,24,30,16,17,22
Tiltil,2006,5,6,4,5,10,6,5,8,2,5,3,6
Vitacura,2006,32,34,31,39,39,34,54,44,35,38,42,36
