comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2004,2,1,1,4,2,3,NA,3,4,NA,2,6
Buin,2004,23,15,26,32,22,47,40,27,25,31,28,21
Calera de Tango,2004,4,7,7,1,7,10,8,3,2,8,8,2
Cerrillos,2004,28,31,32,26,30,47,51,31,31,29,28,38
Cerro Navia,2004,62,57,51,60,68,78,66,75,73,59,56,68
Colina,2004,27,19,26,38,30,27,15,21,27,21,20,28
Conchalí,2004,83,62,63,64,95,98,94,96,80,79,62,82
Curacaví,2004,6,9,9,16,7,7,12,13,3,9,11,14
El Bosque,2004,72,63,71,72,81,71,93,63,54,51,75,71
El Monte,2004,11,10,4,17,20,26,16,13,8,13,12,16
Estación Central,2004,70,57,69,77,88,93,92,86,67,89,73,50
Huechuraba,2004,25,12,21,30,37,38,34,31,23,26,26,24
Independencia,2004,58,56,56,59,107,115,105,90,73,76,53,76
Isla de Maipo,2004,10,10,9,5,14,10,12,13,16,14,12,7
La Cisterna,2004,41,47,42,39,55,62,62,44,38,35,47,57
La Florida,2004,137,102,126,121,177,176,169,148,107,142,111,112
La Granja,2004,62,45,54,64,83,67,67,58,48,54,49,42
La Pintana,2004,59,59,52,40,83,70,69,77,62,54,48,62
La Reina,2004,46,45,40,44,60,56,47,46,53,41,44,37
Lampa,2004,23,7,14,11,23,31,21,15,24,25,19,14
Las Condes,2004,101,107,91,117,131,134,147,122,120,110,106,106
Lo Barnechea,2004,20,11,13,17,25,24,25,32,18,15,25,12
Lo Espejo,2004,52,48,56,62,62,67,79,64,57,64,43,48
Lo Prado,2004,47,41,32,34,65,52,54,56,43,49,39,45
Macul,2004,44,45,49,55,63,71,60,57,51,51,48,39
Maipú,2004,123,109,124,115,148,157,167,158,120,139,110,111
María Pinto,2004,4,3,6,3,7,4,3,3,9,NA,6,10
Melipilla,2004,43,33,46,46,57,48,52,52,54,47,46,42
Ñuñoa,2004,91,74,105,104,136,134,128,151,112,83,96,90
Padre Hurtado,2004,18,14,12,17,9,18,22,13,13,14,8,11
Paine,2004,11,14,15,18,16,37,28,24,18,20,19,23
Pedro Aguirre Cerda,2004,55,50,56,52,74,84,95,84,71,44,62,61
Peñaflor,2004,21,28,21,18,26,36,34,46,24,20,24,26
Peñalolén,2004,49,67,69,80,92,115,88,86,71,60,61,60
Pirque,2004,6,1,5,6,13,9,5,8,4,2,3,5
Providencia,2004,86,77,65,65,100,112,97,107,90,97,82,79
Pudahuel,2004,62,55,53,48,81,69,64,66,69,57,52,60
Puente Alto,2004,117,121,125,110,136,185,208,156,142,139,143,145
Quilicura,2004,34,23,24,28,45,33,47,34,30,21,25,36
Quinta Normal,2004,78,59,63,76,95,82,105,75,76,56,53,63
Recoleta,2004,86,71,81,85,131,114,127,116,82,69,60,75
Renca,2004,54,42,44,49,69,60,54,64,41,62,44,61
San Bernardo,2004,97,78,96,93,122,134,131,117,91,99,110,105
San Joaquín,2004,60,44,46,65,80,65,69,65,50,55,53,46
San José de Maipo,2004,8,7,9,13,12,8,9,8,6,9,5,6
San Miguel,2004,56,54,57,49,73,81,70,78,59,59,76,54
San Pedro,2004,1,3,NA,1,1,5,2,3,NA,NA,NA,1
San Ramón,2004,40,31,34,40,55,63,55,46,50,37,30,53
Santiago,2004,128,93,99,103,146,162,127,127,112,118,105,114
Talagante,2004,14,16,19,13,29,18,24,26,25,24,16,18
Tiltil,2004,3,1,2,3,8,12,7,9,3,7,5,2
Vitacura,2004,25,33,31,33,35,40,46,39,28,37,35,30
