comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2005,2,1,1,5,2,4,6,3,3,1,2,4
Buin,2005,24,27,20,26,26,29,41,26,26,33,26,35
Calera de Tango,2005,3,4,7,3,5,3,7,5,4,3,2,7
Cerrillos,2005,27,36,30,31,31,38,40,37,38,22,24,25
Cerro Navia,2005,58,53,63,57,73,75,79,69,71,59,55,59
Colina,2005,29,13,26,21,22,20,24,29,26,23,26,31
Conchalí,2005,57,65,74,63,70,93,68,94,73,75,63,63
Curacaví,2005,10,5,7,9,7,12,14,14,12,8,8,13
El Bosque,2005,67,73,59,73,67,99,80,97,77,62,66,66
El Monte,2005,11,9,9,9,15,12,14,8,14,10,15,4
Estación Central,2005,45,54,66,66,82,75,80,65,70,77,80,67
Huechuraba,2005,21,21,32,23,16,26,25,26,33,34,18,23
Independencia,2005,59,55,68,64,72,80,89,83,75,66,59,66
Isla de Maipo,2005,9,7,12,17,12,7,13,15,23,13,13,9
La Cisterna,2005,48,36,46,45,65,62,64,47,49,58,45,46
La Florida,2005,137,94,126,105,132,163,147,157,130,148,114,126
La Granja,2005,52,35,38,54,54,61,50,61,65,52,56,59
La Pintana,2005,54,38,60,57,59,67,65,78,59,58,45,49
La Reina,2005,33,45,47,43,62,64,46,54,51,31,40,58
Lampa,2005,16,13,20,14,18,21,32,15,22,10,14,16
Las Condes,2005,108,97,123,116,109,133,147,132,119,120,98,134
Lo Barnechea,2005,20,19,22,15,15,14,12,23,23,18,20,21
Lo Espejo,2005,59,49,47,64,53,80,58,61,46,54,66,47
Lo Prado,2005,44,42,37,41,42,56,55,53,40,33,38,44
Macul,2005,56,38,43,42,61,61,58,63,56,56,50,55
Maipú,2005,125,104,136,120,141,142,141,132,136,118,113,143
María Pinto,2005,5,2,3,3,7,7,5,5,5,2,4,5
Melipilla,2005,55,37,44,34,46,41,49,51,44,51,34,46
Ñuñoa,2005,87,76,100,107,129,129,141,130,119,107,90,118
Padre Hurtado,2005,15,15,9,8,16,13,16,12,13,10,11,19
Paine,2005,15,16,21,25,23,22,21,18,12,16,15,16
Pedro Aguirre Cerda,2005,73,42,66,63,83,86,75,72,67,69,65,73
Peñaflor,2005,30,19,19,29,33,32,43,26,33,32,32,16
Peñalolén,2005,82,73,75,58,100,88,96,82,85,85,79,63
Pirque,2005,7,4,3,9,4,4,15,9,10,7,7,5
Providencia,2005,98,80,77,87,101,98,120,96,102,94,77,91
Pudahuel,2005,71,44,73,66,58,87,77,76,69,58,65,68
Puente Alto,2005,153,133,110,149,163,179,144,133,134,159,138,119
Quilicura,2005,25,36,26,25,35,38,46,30,44,37,30,29
Quinta Normal,2005,74,44,71,73,67,92,81,64,70,62,49,67
Recoleta,2005,85,66,75,78,103,111,104,108,85,80,79,69
Renca,2005,52,58,50,65,61,72,58,50,52,29,61,54
San Bernardo,2005,118,64,92,109,116,120,120,121,114,112,81,111
San Joaquín,2005,64,42,62,57,84,68,67,57,50,48,46,55
San José de Maipo,2005,7,4,10,4,6,4,8,7,5,5,3,8
San Miguel,2005,59,58,52,53,60,74,87,69,83,61,57,53
San Pedro,2005,5,2,5,4,6,6,6,2,4,2,1,4
San Ramón,2005,32,32,38,42,50,60,52,49,52,39,45,34
Santiago,2005,107,89,133,131,143,150,158,119,135,118,106,113
Talagante,2005,20,17,21,22,32,20,25,14,25,28,11,24
Tiltil,2005,8,5,4,8,7,8,9,6,11,4,4,6
Vitacura,2005,34,30,35,31,22,46,43,43,17,41,32,26
