comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2007,3,2,1,2,1,4,2,3,NA,5,NA,NA
Buin,2007,32,30,25,22,31,44,41,32,33,21,15,37
Calera de Tango,2007,8,4,5,6,4,9,14,13,6,2,11,5
Cerrillos,2007,36,28,41,23,33,37,30,48,38,24,26,32
Cerro Navia,2007,64,56,58,70,88,90,95,80,84,85,66,55
Colina,2007,33,13,28,21,31,34,29,38,29,26,23,23
Conchalí,2007,84,67,77,52,86,104,104,89,82,69,61,59
Curacaví,2007,11,8,9,11,16,19,18,9,14,11,12,14
El Bosque,2007,77,59,57,72,101,111,100,90,83,67,70,63
El Monte,2007,9,6,8,12,21,23,17,10,6,6,16,15
Estación Central,2007,67,63,53,65,84,105,108,84,77,76,65,61
Huechuraba,2007,29,32,16,33,28,37,37,38,42,31,32,30
Independencia,2007,68,63,73,59,85,116,85,80,78,109,83,77
Isla de Maipo,2007,13,7,8,14,12,12,20,22,13,14,16,11
La Cisterna,2007,40,36,53,46,53,80,78,57,68,57,54,58
La Florida,2007,126,116,126,124,135,188,179,179,129,131,136,144
La Granja,2007,51,46,48,63,72,78,66,70,71,70,54,50
La Pintana,2007,52,55,55,68,53,77,90,84,68,74,59,56
La Reina,2007,37,42,34,40,58,73,65,62,57,51,47,45
Lampa,2007,11,11,15,17,19,19,29,22,21,15,19,18
Las Condes,2007,123,102,125,117,128,160,186,160,126,130,94,93
Lo Barnechea,2007,11,14,22,20,21,21,18,29,18,20,19,20
Lo Espejo,2007,63,37,39,61,59,89,83,61,61,40,41,48
Lo Prado,2007,52,28,57,48,58,70,66,51,56,57,38,44
Macul,2007,52,49,38,53,58,88,60,70,79,51,37,54
Maipú,2007,159,122,146,135,170,201,164,172,163,144,120,133
María Pinto,2007,6,5,2,4,3,4,5,7,3,6,6,5
Melipilla,2007,39,28,46,43,48,86,58,56,52,45,45,54
Ñuñoa,2007,106,92,96,101,120,150,144,138,129,115,119,87
Padre Hurtado,2007,18,15,14,15,12,15,27,20,22,17,19,15
Paine,2007,21,9,19,12,21,24,30,26,19,21,18,21
Pedro Aguirre Cerda,2007,71,54,63,44,75,96,82,68,69,58,69,65
Peñaflor,2007,23,17,30,36,27,39,37,39,33,37,26,40
Peñalolén,2007,67,78,71,101,84,116,124,102,84,78,78,81
Pirque,2007,1,4,5,5,9,3,11,9,5,5,15,10
Providencia,2007,101,64,88,86,108,112,130,115,96,114,83,94
Pudahuel,2007,59,53,66,77,79,95,99,69,80,68,67,65
Puente Alto,2007,134,129,155,141,158,218,200,183,156,160,143,167
Quilicura,2007,27,31,31,31,45,48,39,49,43,36,26,42
Quinta Normal,2007,70,54,56,72,79,92,101,84,91,60,70,70
Recoleta,2007,94,54,89,87,88,133,121,120,100,91,76,70
Renca,2007,46,36,49,56,59,79,75,68,54,55,61,53
San Bernardo,2007,126,103,124,113,118,173,144,150,151,118,125,107
San Joaquín,2007,49,32,54,65,72,58,87,71,64,59,55,69
San José de Maipo,2007,6,3,1,7,9,9,10,2,4,10,6,3
San Miguel,2007,63,54,46,51,63,117,114,97,63,55,50,54
San Pedro,2007,5,4,2,3,9,5,5,5,4,1,1,3
San Ramón,2007,38,27,46,48,61,61,56,79,62,45,39,57
Santiago,2007,122,127,113,98,107,170,154,164,122,110,107,113
Talagante,2007,28,21,16,23,29,33,28,26,26,25,25,17
Tiltil,2007,8,6,9,2,3,9,9,15,8,6,8,2
Vitacura,2007,32,33,31,39,46,58,49,50,32,42,46,44
