comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2008,2,2,2,NA,2,2,2,NA,2,NA,NA,4
Buin,2008,36,16,28,38,31,27,26,27,27,29,28,28
Calera de Tango,2008,10,12,8,9,5,10,8,10,8,3,12,12
Cerrillos,2008,35,28,28,37,29,44,40,32,32,33,30,34
Cerro Navia,2008,60,56,55,76,66,66,62,67,65,55,72,58
Colina,2008,21,22,19,27,37,32,27,30,34,17,18,26
Conchalí,2008,74,71,65,60,79,84,103,94,95,75,68,62
Curacaví,2008,9,12,6,13,14,15,10,11,13,11,13,10
El Bosque,2008,77,64,66,76,85,83,92,77,76,78,78,93
El Monte,2008,6,6,18,10,16,17,11,13,10,15,12,11
Estación Central,2008,71,54,65,76,92,79,101,73,84,70,58,71
Huechuraba,2008,22,19,24,25,33,24,28,32,23,35,31,37
Independencia,2008,75,53,73,62,70,83,92,89,80,98,71,72
Isla de Maipo,2008,9,13,12,13,16,5,6,14,15,10,8,12
La Cisterna,2008,50,41,38,46,50,55,56,57,49,52,43,45
La Florida,2008,137,123,140,127,139,134,145,126,136,133,126,122
La Granja,2008,64,51,44,55,61,64,68,72,48,57,54,53
La Pintana,2008,78,55,62,63,53,71,73,85,71,57,55,54
La Reina,2008,56,46,44,43,52,52,44,51,44,50,42,34
Lampa,2008,27,12,18,17,22,15,17,27,25,26,21,12
Las Condes,2008,142,119,111,124,123,150,156,158,108,120,130,118
Lo Barnechea,2008,21,20,15,17,24,18,20,23,22,35,20,22
Lo Espejo,2008,57,61,65,59,49,65,65,69,48,59,57,48
Lo Prado,2008,45,50,41,59,58,53,59,59,51,46,41,43
Macul,2008,43,42,50,60,50,45,53,64,59,63,55,40
Maipú,2008,140,125,110,155,158,178,164,160,156,121,138,153
María Pinto,2008,9,4,4,2,5,6,6,2,4,7,5,8
Melipilla,2008,53,49,45,48,44,49,61,56,52,46,54,52
Ñuñoa,2008,120,95,87,111,112,138,120,126,107,108,98,105
Padre Hurtado,2008,16,14,17,11,8,18,23,25,22,14,17,16
Paine,2008,21,18,19,18,26,17,25,17,30,16,20,19
Pedro Aguirre Cerda,2008,66,54,54,55,66,69,94,68,61,70,48,70
Peñaflor,2008,22,25,17,44,36,31,41,52,30,28,29,28
Peñalolén,2008,75,91,74,76,85,96,93,112,89,71,78,85
Pirque,2008,6,6,2,10,8,13,5,6,6,7,7,5
Providencia,2008,95,78,93,86,102,95,82,89,90,78,84,84
Pudahuel,2008,69,58,70,57,80,63,69,82,74,72,65,73
Puente Alto,2008,164,113,124,145,182,188,181,158,178,132,138,134
Quilicura,2008,41,27,34,42,29,41,41,41,43,35,30,38
Quinta Normal,2008,91,59,63,56,83,78,82,66,75,50,68,65
Recoleta,2008,95,58,78,71,82,103,104,103,89,68,73,81
Renca,2008,43,47,58,64,48,50,64,85,49,46,36,49
San Bernardo,2008,111,105,107,106,137,106,123,106,114,107,99,113
San Joaquín,2008,52,58,58,60,69,62,57,65,65,63,58,54
San José de Maipo,2008,8,4,7,2,4,7,10,11,7,5,6,7
San Miguel,2008,72,51,55,61,61,69,78,60,58,64,58,51
San Pedro,2008,6,4,2,6,2,4,5,7,3,3,6,2
San Ramón,2008,38,29,52,40,42,54,42,45,52,54,48,37
Santiago,2008,109,115,103,122,123,158,145,138,124,106,107,105
Talagante,2008,26,30,18,21,17,27,31,20,32,22,16,18
Tiltil,2008,4,6,3,11,10,7,8,6,10,8,8,4
Vitacura,2008,49,32,34,25,39,47,31,45,36,33,35,35
