comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2014,3,4,3,3,2,5,2,1,3,2,6,2
Buin,2014,33,31,31,37,33,42,35,44,31,36,35,29
Calera de Tango,2014,10,6,10,7,12,13,15,9,15,7,6,10
Cerrillos,2014,35,28,35,36,37,56,45,46,45,30,41,38
Cerro Navia,2014,68,70,77,76,74,71,117,77,72,74,82,59
Colina,2014,25,28,32,36,47,38,53,38,29,33,47,34
Conchalí,2014,68,56,69,93,78,107,112,101,90,81,78,75
Curacaví,2014,18,7,15,19,11,12,19,17,22,12,20,11
El Bosque,2014,62,61,87,67,99,105,109,92,84,107,81,89
El Monte,2014,18,10,15,12,9,14,15,19,18,7,11,11
Estación Central,2014,73,59,60,64,66,89,93,75,86,69,75,85
Huechuraba,2014,29,33,35,34,40,45,51,37,34,42,35,42
Independencia,2014,64,43,59,70,67,74,105,78,79,64,71,71
Isla de Maipo,2014,18,11,9,12,14,21,17,14,20,14,11,11
La Cisterna,2014,43,40,60,52,66,83,99,56,63,63,61,56
La Florida,2014,143,133,137,185,153,194,204,192,157,158,167,141
La Granja,2014,64,60,60,63,64,72,91,66,76,53,57,55
La Pintana,2014,80,55,71,77,92,90,107,80,84,79,82,69
La Reina,2014,38,35,40,55,46,68,56,68,59,47,48,35
Lampa,2014,17,21,17,27,25,31,40,24,29,16,36,32
Las Condes,2014,143,118,109,128,163,126,179,142,131,134,129,144
Lo Barnechea,2014,23,14,25,15,23,22,30,31,35,15,24,28
Lo Espejo,2014,69,44,57,47,71,64,80,62,84,59,79,59
Lo Prado,2014,56,62,42,54,51,61,78,63,43,43,43,53
Macul,2014,53,58,59,67,65,65,69,75,60,65,38,49
Maipú,2014,189,153,142,188,184,223,236,185,208,167,157,176
María Pinto,2014,5,6,5,3,4,7,7,3,8,5,5,6
Melipilla,2014,46,44,52,63,56,70,82,60,67,57,73,58
Ñuñoa,2014,137,96,107,129,120,129,178,121,116,118,104,120
Padre Hurtado,2014,17,19,22,20,28,21,25,21,27,24,15,15
Paine,2014,35,19,25,26,26,18,25,20,31,18,31,24
Pedro Aguirre Cerda,2014,72,45,67,69,88,98,95,92,75,69,70,82
Peñaflor,2014,35,31,28,41,37,44,52,37,34,35,38,31
Peñalolén,2014,97,86,84,102,96,127,140,117,88,92,106,81
Pirque,2014,9,7,14,4,8,13,7,10,5,6,13,8
Providencia,2014,103,80,77,78,90,102,114,103,96,105,88,83
Pudahuel,2014,90,69,71,86,85,95,106,96,94,107,80,91
Puente Alto,2014,195,160,170,186,188,226,239,234,194,196,212,170
Quilicura,2014,53,41,47,47,49,57,63,52,66,48,54,46
Quinta Normal,2014,66,48,46,63,71,94,116,82,66,72,67,73
Recoleta,2014,74,82,84,104,110,113,130,104,93,92,83,81
Renca,2014,64,47,52,59,49,81,88,101,69,68,58,71
San Bernardo,2014,122,120,118,119,114,153,177,160,126,122,124,133
San Joaquín,2014,63,38,55,63,64,84,81,58,61,53,56,48
San José de Maipo,2014,7,9,7,9,10,10,7,8,8,5,4,6
San Miguel,2014,76,64,68,56,70,91,106,72,59,63,67,52
San Pedro,2014,4,5,5,1,1,8,5,7,6,3,4,3
San Ramón,2014,53,49,48,53,50,63,73,53,52,45,56,51
Santiago,2014,135,113,98,113,139,177,196,146,143,123,117,115
Talagante,2014,31,25,21,27,39,25,34,36,27,35,30,38
Tiltil,2014,8,4,8,8,8,7,9,6,4,12,8,6
Vitacura,2014,41,24,45,35,32,44,54,44,40,47,51,48
