comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2009,4,6,NA,1,1,1,1,3,2,4,2,2
Buin,2009,33,28,21,31,32,25,43,38,34,33,21,30
Calera de Tango,2009,6,5,11,7,7,8,8,14,7,8,10,6
Cerrillos,2009,37,31,25,27,36,39,36,31,41,38,42,39
Cerro Navia,2009,74,56,62,56,82,77,93,83,70,80,74,74
Colina,2009,34,29,26,27,34,41,41,31,38,27,28,35
Conchalí,2009,74,51,74,78,77,90,93,69,80,73,50,83
Curacaví,2009,10,8,15,11,12,16,10,11,12,13,9,20
El Bosque,2009,80,61,81,74,88,86,102,84,91,73,71,80
El Monte,2009,12,5,11,8,17,9,19,20,14,11,16,8
Estación Central,2009,80,58,53,76,72,88,92,81,69,72,67,75
Huechuraba,2009,43,25,28,33,37,34,30,38,29,37,32,36
Independencia,2009,75,65,79,61,94,93,108,86,82,91,74,74
Isla de Maipo,2009,16,12,9,17,12,12,17,16,19,10,10,23
La Cisterna,2009,49,33,50,44,51,75,62,53,51,62,53,57
La Florida,2009,137,125,116,116,156,149,160,155,159,137,140,121
La Granja,2009,52,47,39,52,77,66,54,76,66,65,81,55
La Pintana,2009,76,67,62,71,64,78,70,59,62,57,61,59
La Reina,2009,43,32,50,41,52,53,58,45,46,41,46,46
Lampa,2009,24,12,25,13,13,20,22,19,22,12,20,15
Las Condes,2009,127,99,98,105,135,145,142,135,127,115,99,111
Lo Barnechea,2009,16,15,23,10,21,24,24,20,23,29,21,27
Lo Espejo,2009,55,37,52,39,59,47,71,56,70,66,62,62
Lo Prado,2009,50,43,38,44,37,50,68,49,46,54,53,49
Macul,2009,55,48,42,52,61,60,56,60,62,61,47,50
Maipú,2009,133,135,119,127,160,156,170,160,144,155,142,161
María Pinto,2009,NA,1,5,5,6,3,8,4,5,3,3,6
Melipilla,2009,41,35,45,39,66,39,55,56,43,54,43,53
Ñuñoa,2009,110,85,92,108,111,113,141,152,125,119,114,117
Padre Hurtado,2009,15,14,15,16,18,22,24,22,13,21,18,16
Paine,2009,24,15,17,13,28,21,24,23,24,8,21,23
Pedro Aguirre Cerda,2009,75,54,57,60,51,92,89,66,71,64,56,59
Peñaflor,2009,29,38,18,25,37,33,41,36,38,25,38,37
Peñalolén,2009,90,50,77,71,72,97,115,91,83,103,87,76
Pirque,2009,11,2,11,10,6,3,12,13,13,10,8,10
Providencia,2009,101,70,76,79,95,86,122,87,87,95,85,95
Pudahuel,2009,55,53,67,74,82,90,96,70,71,63,68,74
Puente Alto,2009,167,146,141,164,182,172,195,188,165,161,149,142
Quilicura,2009,28,44,33,33,36,44,53,37,38,40,45,50
Quinta Normal,2009,69,47,49,76,66,77,91,84,57,52,57,65
Recoleta,2009,100,80,80,80,99,121,118,99,119,86,84,95
Renca,2009,65,53,55,55,52,60,82,71,66,56,53,63
San Bernardo,2009,95,85,108,111,134,122,163,119,120,117,110,115
San Joaquín,2009,47,43,43,40,54,65,76,65,66,53,56,43
San José de Maipo,2009,10,4,5,7,8,5,10,13,7,15,5,3
San Miguel,2009,71,52,53,49,65,74,73,67,57,60,45,42
San Pedro,2009,NA,2,2,3,4,1,3,2,5,4,3,6
San Ramón,2009,47,33,49,43,51,64,65,51,45,47,50,58
Santiago,2009,117,101,99,98,133,146,153,126,104,141,131,110
Talagante,2009,18,19,28,20,30,22,25,28,21,32,24,24
Tiltil,2009,5,4,5,5,10,4,5,4,6,7,8,4
Vitacura,2009,39,33,40,42,42,36,45,50,57,29,30,31
