comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2017,3,4,2,4,3,3,1,2,6,1,2,2
Buin,2017,67,26,30,35,58,58,57,41,37,55,39,38
Calera de Tango,2017,9,6,6,9,13,14,11,15,10,11,7,10
Cerrillos,2017,38,36,38,39,41,40,41,42,29,47,27,30
Cerro Navia,2017,76,58,62,65,90,87,99,93,85,74,65,76
Colina,2017,32,32,32,35,46,42,61,60,39,39,28,37
Conchalí,2017,79,69,68,73,83,96,96,96,87,83,76,54
Curacaví,2017,15,16,10,11,21,22,19,19,12,18,17,12
El Bosque,2017,75,62,71,69,72,108,120,121,79,90,91,78
El Monte,2017,22,18,20,22,14,15,17,15,12,16,15,12
Estación Central,2017,52,61,59,56,91,99,90,95,79,60,63,60
Huechuraba,2017,26,34,38,34,37,54,54,33,42,43,22,35
Independencia,2017,70,86,62,45,79,132,91,70,69,77,61,53
Isla de Maipo,2017,8,15,14,20,17,17,18,21,15,14,12,10
La Cisterna,2017,69,42,44,55,57,86,81,81,62,51,50,57
La Florida,2017,175,127,155,151,178,230,211,169,192,178,155,172
La Granja,2017,74,47,55,53,71,89,92,72,67,67,59,47
La Pintana,2017,69,77,68,86,86,103,92,82,81,86,58,72
La Reina,2017,63,47,39,57,51,62,64,58,53,46,36,46
Lampa,2017,48,25,27,24,42,37,42,23,33,28,36,34
Las Condes,2017,162,123,139,154,156,194,174,163,145,131,125,137
Lo Barnechea,2017,21,17,27,29,31,41,36,24,32,29,23,21
Lo Espejo,2017,50,55,56,47,56,98,80,71,65,57,61,48
Lo Prado,2017,45,38,56,54,59,61,74,76,45,63,47,45
Macul,2017,64,56,57,69,71,92,86,80,58,79,53,47
Maipú,2017,199,178,176,229,207,259,240,234,181,220,180,165
María Pinto,2017,3,7,7,7,5,5,6,6,5,7,6,12
Melipilla,2017,60,57,54,59,69,83,81,88,74,72,64,77
Ñuñoa,2017,123,98,109,104,120,161,140,117,129,139,96,100
Padre Hurtado,2017,14,19,23,15,21,29,32,27,29,21,19,23
Paine,2017,27,14,25,24,31,25,36,32,27,33,34,20
Pedro Aguirre Cerda,2017,69,69,67,68,58,95,81,73,94,73,66,47
Peñaflor,2017,38,31,32,41,53,55,47,54,49,36,42,43
Peñalolén,2017,123,91,85,97,114,124,126,114,104,106,93,101
Pirque,2017,5,7,8,14,13,15,14,13,12,11,8,12
Providencia,2017,94,82,102,97,107,106,128,84,94,94,96,76
Pudahuel,2017,90,74,81,73,89,111,116,98,101,85,73,84
Puente Alto,2017,205,163,178,205,236,285,241,240,221,222,193,210
Quilicura,2017,59,35,60,48,60,58,60,64,60,58,46,66
Quinta Normal,2017,50,57,85,65,67,99,79,81,94,63,60,60
Recoleta,2017,92,70,74,76,95,116,133,103,102,95,73,83
Renca,2017,76,70,54,61,73,84,68,67,64,59,59,67
San Bernardo,2017,136,97,112,137,133,166,170,148,132,133,122,116
San Joaquín,2017,60,48,49,67,62,86,86,71,72,56,57,56
San José de Maipo,2017,9,5,5,13,8,9,6,14,4,4,7,7
San Miguel,2017,78,61,62,67,101,90,93,79,87,77,72,71
San Pedro,2017,5,5,1,2,1,5,4,5,5,7,5,3
San Ramón,2017,58,45,51,52,55,68,74,66,54,52,45,32
Santiago,2017,136,109,96,120,120,185,136,138,130,103,98,124
Talagante,2017,31,29,24,36,31,41,45,40,25,28,23,28
Tiltil,2017,5,5,9,10,6,10,6,8,11,9,5,11
Vitacura,2017,35,32,44,39,45,64,49,51,51,41,45,35
