comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2002,1,2,3,1,3,2,4,1,2,4,1,1
Buin,2002,21,20,25,18,38,28,28,23,28,27,25,16
Calera de Tango,2002,3,3,8,5,6,3,5,4,4,7,5,6
Cerrillos,2002,32,32,26,28,29,39,48,37,26,46,23,27
Cerro Navia,2002,56,49,54,65,62,63,70,73,69,61,56,61
Colina,2002,24,15,23,18,14,14,21,29,36,18,21,24
Conchalí,2002,71,45,42,78,79,66,72,94,78,55,60,59
Curacaví,2002,4,4,14,8,7,9,11,11,5,6,5,13
El Bosque,2002,62,59,54,54,76,86,69,73,58,65,75,60
El Monte,2002,9,8,15,14,10,10,16,13,11,10,10,6
Estación Central,2002,56,55,56,92,71,96,81,74,73,82,82,80
Huechuraba,2002,26,19,20,26,15,19,25,22,19,25,22,29
Independencia,2002,58,66,58,64,64,84,104,70,76,65,50,63
Isla de Maipo,2002,7,9,11,10,13,14,18,13,15,19,9,8
La Cisterna,2002,48,44,43,61,46,50,56,52,45,48,36,47
La Florida,2002,115,94,108,123,117,111,150,159,145,144,126,125
La Granja,2002,53,40,45,40,51,60,60,67,70,58,47,60
La Pintana,2002,49,55,38,67,53,58,66,53,52,50,54,42
La Reina,2002,51,40,36,34,49,45,41,52,55,43,37,28
Lampa,2002,15,16,12,23,11,23,13,15,20,16,16,13
Las Condes,2002,97,101,87,95,109,89,121,135,124,100,88,86
Lo Barnechea,2002,9,12,17,15,13,20,13,14,20,12,21,18
Lo Espejo,2002,54,59,44,49,61,52,68,53,51,55,43,47
Lo Prado,2002,48,39,38,32,43,47,59,46,52,48,37,45
Macul,2002,45,42,44,49,31,53,46,53,62,37,49,60
Maipú,2002,122,100,105,103,118,153,144,132,134,130,119,112
María Pinto,2002,4,NA,4,3,2,4,5,2,4,6,3,2
Melipilla,2002,48,28,26,37,41,52,46,52,33,46,34,44
Ñuñoa,2002,110,102,103,101,92,116,117,109,136,95,95,114
Padre Hurtado,2002,22,7,13,8,16,12,26,9,18,14,9,11
Paine,2002,17,16,15,12,20,24,13,17,20,9,13,9
Pedro Aguirre Cerda,2002,70,50,60,76,79,72,81,73,79,58,46,56
Peñaflor,2002,40,21,23,23,35,38,36,30,25,23,25,23
Peñalolén,2002,73,67,75,71,72,71,74,67,89,69,70,71
Pirque,2002,3,6,7,5,4,4,6,12,4,5,10,3
Providencia,2002,91,73,80,73,81,112,104,89,82,86,99,80
Pudahuel,2002,52,51,60,76,72,56,94,60,70,60,74,66
Puente Alto,2002,114,91,141,123,128,140,141,143,141,147,113,120
Quilicura,2002,20,20,19,25,28,18,21,32,29,25,25,21
Quinta Normal,2002,84,58,56,67,66,72,84,77,85,60,58,69
Recoleta,2002,78,67,79,84,87,83,88,86,97,78,77,74
Renca,2002,40,36,56,38,46,55,57,60,60,51,46,49
San Bernardo,2002,81,88,102,86,76,91,104,98,95,95,83,93
San Joaquín,2002,60,46,58,48,51,44,70,60,68,63,61,47
San José de Maipo,2002,5,5,7,6,4,3,7,5,11,6,10,5
San Miguel,2002,51,29,62,50,68,75,86,75,54,70,57,62
San Pedro,2002,4,2,2,3,NA,NA,3,1,1,3,2,NA
San Ramón,2002,39,34,37,39,41,46,46,50,48,56,34,39
Santiago,2002,119,115,97,110,129,168,139,135,116,127,127,99
Talagante,2002,19,14,21,18,25,20,32,25,17,14,14,28
Tiltil,2002,3,5,9,10,4,10,9,3,5,5,5,5
Vitacura,2002,29,26,33,26,34,40,35,25,40,35,24,37
