comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2000,2,NA,1,2,2,5,1,3,2,4,2,4
Buin,2000,22,29,22,18,19,42,22,21,26,16,21,27
Calera de Tango,2000,7,6,8,3,6,7,3,3,8,3,3,5
Cerrillos,2000,24,23,24,30,29,35,41,22,30,36,23,25
Cerro Navia,2000,54,42,56,58,69,60,70,55,66,51,63,68
Colina,2000,19,17,21,21,21,17,24,17,21,24,24,17
Conchalí,2000,66,55,57,61,80,87,95,79,86,59,58,86
Curacaví,2000,8,8,7,10,10,7,14,10,6,3,9,12
El Bosque,2000,70,54,70,62,81,75,88,70,85,68,59,64
El Monte,2000,8,12,9,16,6,13,11,12,12,10,5,12
Estación Central,2000,69,72,69,68,83,58,85,70,68,77,61,93
Huechuraba,2000,29,22,25,20,20,34,37,26,36,28,35,15
Independencia,2000,66,56,56,72,67,80,67,70,63,57,79,64
Isla de Maipo,2000,9,11,7,13,10,8,14,7,7,16,10,7
La Cisterna,2000,43,49,42,52,61,48,53,49,50,53,36,54
La Florida,2000,100,109,119,136,126,142,144,121,129,114,110,98
La Granja,2000,47,47,45,59,56,53,68,57,57,45,52,53
La Pintana,2000,43,46,41,51,46,51,55,61,54,52,69,54
La Reina,2000,42,42,40,32,57,48,48,48,36,45,40,33
Lampa,2000,11,16,11,18,16,15,15,11,17,10,17,23
Las Condes,2000,95,89,101,106,107,115,97,107,108,107,114,98
Lo Barnechea,2000,16,8,14,16,17,13,16,13,9,15,12,16
Lo Espejo,2000,50,43,43,57,69,63,70,42,54,44,45,59
Lo Prado,2000,41,30,40,42,49,43,57,37,41,43,35,43
Macul,2000,50,37,67,44,51,49,56,47,42,52,47,41
Maipú,2000,93,84,94,90,129,114,132,110,107,103,98,109
María Pinto,2000,NA,7,2,4,4,2,7,6,2,10,4,1
Melipilla,2000,32,31,39,49,36,55,47,42,40,35,29,36
Ñuñoa,2000,101,79,113,94,130,120,129,101,119,118,101,108
Padre Hurtado,2000,8,8,14,13,16,13,20,17,14,10,12,18
Paine,2000,14,13,13,21,32,17,19,20,18,10,22,21
Pedro Aguirre Cerda,2000,66,65,57,52,59,64,60,70,63,62,73,62
Peñaflor,2000,34,13,19,22,26,21,28,22,17,34,14,33
Peñalolén,2000,56,66,56,56,73,73,68,80,60,62,74,62
Pirque,2000,3,5,4,NA,10,6,9,3,8,3,4,7
Providencia,2000,88,72,66,88,101,85,90,87,94,90,88,70
Pudahuel,2000,47,40,45,59,52,65,60,46,56,54,52,66
Puente Alto,2000,107,98,92,128,125,146,132,126,112,123,117,124
Quilicura,2000,17,23,14,25,17,23,19,30,26,24,14,33
Quinta Normal,2000,72,71,67,67,61,82,71,88,74,47,60,59
Recoleta,2000,82,63,74,76,82,105,112,93,97,89,104,90
Renca,2000,66,43,47,48,50,53,59,68,42,38,43,64
San Bernardo,2000,87,82,73,85,79,78,115,106,84,68,89,80
San Joaquín,2000,46,41,43,56,53,72,66,58,66,44,54,49
San José de Maipo,2000,5,8,5,3,5,5,9,5,3,7,6,2
San Miguel,2000,56,42,45,46,71,63,72,64,64,45,65,51
San Pedro,2000,1,6,1,4,5,4,3,6,4,NA,1,1
San Ramón,2000,42,40,31,36,43,43,47,42,49,34,36,46
Santiago,2000,118,103,106,113,125,151,156,142,127,91,97,121
Talagante,2000,13,18,17,13,16,20,26,19,27,24,17,17
Tiltil,2000,2,7,5,9,9,6,6,6,4,2,2,3
Vitacura,2000,28,29,26,26,25,34,26,36,22,38,29,23
