comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2013,3,1,5,3,3,1,2,4,3,5,2,2
Buin,2013,32,33,29,41,34,44,40,30,35,26,37,34
Calera de Tango,2013,6,5,13,2,7,13,9,15,11,10,8,10
Cerrillos,2013,33,37,32,33,45,48,37,42,34,33,38,41
Cerro Navia,2013,75,67,64,81,79,86,97,89,70,74,68,63
Colina,2013,39,31,28,42,35,48,39,34,27,26,40,27
Conchalí,2013,60,65,56,65,94,76,98,100,78,73,67,70
Curacaví,2013,19,11,11,10,10,13,25,13,15,8,16,18
El Bosque,2013,88,56,91,74,93,90,99,104,98,88,76,76
El Monte,2013,17,11,16,18,16,15,10,18,18,18,12,14
Estación Central,2013,68,61,67,74,76,83,88,102,87,74,59,77
Huechuraba,2013,40,31,27,25,41,33,42,37,37,40,38,32
Independencia,2013,61,51,69,62,72,72,97,84,69,87,74,66
Isla de Maipo,2013,8,15,11,11,12,12,16,18,19,16,18,12
La Cisterna,2013,57,52,41,53,64,65,67,66,61,58,39,59
La Florida,2013,145,150,157,161,164,166,197,217,172,186,162,131
La Granja,2013,65,62,55,72,64,67,70,71,61,67,64,58
La Pintana,2013,61,66,83,77,82,92,102,88,78,65,78,70
La Reina,2013,42,38,45,43,43,50,64,61,56,52,56,38
Lampa,2013,31,14,24,27,34,25,17,25,30,25,28,19
Las Condes,2013,137,133,135,142,121,156,160,151,134,133,173,131
Lo Barnechea,2013,27,26,20,22,32,24,22,20,27,34,18,25
Lo Espejo,2013,50,53,65,49,72,63,67,72,67,65,54,56
Lo Prado,2013,56,48,49,45,41,48,64,53,65,52,70,50
Macul,2013,48,51,44,58,65,53,62,74,65,54,54,43
Maipú,2013,163,168,196,148,188,163,237,224,191,156,163,154
María Pinto,2013,3,5,5,6,2,6,5,9,12,8,4,5
Melipilla,2013,55,50,51,43,48,71,60,76,55,62,46,68
Ñuñoa,2013,109,117,101,98,136,122,153,136,124,132,107,105
Padre Hurtado,2013,20,12,22,19,25,25,26,26,27,24,18,23
Paine,2013,22,23,18,37,30,30,33,26,22,28,21,26
Pedro Aguirre Cerda,2013,53,49,58,62,72,75,99,77,77,77,64,67
Peñaflor,2013,42,33,34,32,33,33,47,39,44,37,37,40
Peñalolén,2013,88,91,82,73,79,102,113,112,106,89,72,82
Pirque,2013,9,8,8,8,11,7,17,11,9,8,5,7
Providencia,2013,88,90,85,88,87,88,102,94,80,79,103,93
Pudahuel,2013,88,56,68,69,75,81,116,97,112,80,81,69
Puente Alto,2013,170,159,182,172,185,196,247,229,191,207,154,174
Quilicura,2013,43,38,54,39,69,40,53,64,33,44,43,40
Quinta Normal,2013,69,56,60,73,94,70,97,73,71,80,57,66
Recoleta,2013,76,74,78,87,104,99,107,93,100,71,77,67
Renca,2013,62,56,53,46,70,85,69,79,71,71,54,58
San Bernardo,2013,115,92,138,112,131,145,145,146,139,108,126,110
San Joaquín,2013,42,48,43,56,60,61,52,76,60,50,49,57
San José de Maipo,2013,9,3,3,4,6,13,6,11,6,8,7,7
San Miguel,2013,87,69,66,64,84,73,94,64,94,72,62,69
San Pedro,2013,5,2,2,2,3,7,8,8,1,6,NA,5
San Ramón,2013,60,47,56,39,48,66,75,70,68,45,54,50
Santiago,2013,114,112,123,115,133,132,164,149,127,128,121,99
Talagante,2013,25,19,23,21,25,31,43,35,31,33,28,21
Tiltil,2013,4,7,2,2,7,4,12,10,11,10,8,12
Vitacura,2013,33,27,32,33,41,40,34,36,40,47,43,33
