comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2016,5,NA,1,2,1,3,4,2,1,4,5,4
Buin,2016,37,41,39,26,32,32,32,42,32,32,35,36
Calera de Tango,2016,6,6,7,11,8,7,9,14,9,11,6,6
Cerrillos,2016,36,35,35,22,37,47,59,44,43,33,39,36
Cerro Navia,2016,67,71,77,69,87,80,94,98,91,54,61,63
Colina,2016,41,35,27,48,37,46,55,35,44,42,26,36
Conchalí,2016,89,65,60,60,84,81,99,88,88,76,62,80
Curacaví,2016,13,11,13,14,9,24,25,14,11,22,24,13
El Bosque,2016,98,75,87,84,81,91,112,89,83,85,75,79
El Monte,2016,12,17,9,11,12,13,20,20,15,16,17,9
Estación Central,2016,60,65,59,70,72,90,113,85,79,63,60,58
Huechuraba,2016,33,30,36,37,46,38,55,48,32,42,41,36
Independencia,2016,66,59,49,57,80,62,99,86,90,81,60,46
Isla de Maipo,2016,14,12,11,21,16,16,18,20,27,17,14,14
La Cisterna,2016,66,57,57,52,79,72,85,66,75,73,61,58
La Florida,2016,165,154,141,170,188,179,217,192,182,142,138,158
La Granja,2016,64,61,65,60,62,70,84,80,59,73,58,61
La Pintana,2016,77,60,84,67,73,80,99,83,74,73,49,55
La Reina,2016,40,51,49,55,60,46,56,50,57,44,54,54
Lampa,2016,35,19,31,30,30,28,36,37,30,29,33,32
Las Condes,2016,154,126,137,134,160,132,151,164,165,127,137,148
Lo Barnechea,2016,21,29,30,35,38,27,21,35,27,33,26,25
Lo Espejo,2016,67,63,69,68,58,59,86,66,60,45,50,51
Lo Prado,2016,51,45,49,53,45,59,84,56,64,53,51,52
Macul,2016,60,45,54,65,57,83,94,82,78,69,53,56
Maipú,2016,184,183,169,162,187,233,237,224,203,174,168,172
María Pinto,2016,7,2,1,5,2,8,12,10,5,5,8,3
Melipilla,2016,59,47,58,67,66,88,98,74,75,58,57,54
Ñuñoa,2016,121,97,109,110,116,154,147,122,133,118,96,110
Padre Hurtado,2016,30,23,20,22,27,30,36,32,27,22,11,25
Paine,2016,30,19,31,25,35,35,29,37,23,27,31,27
Pedro Aguirre Cerda,2016,60,49,60,53,76,69,81,76,65,83,55,55
Peñaflor,2016,37,43,41,42,33,54,57,48,42,30,39,32
Peñalolén,2016,90,88,92,98,120,104,115,113,97,100,78,116
Pirque,2016,5,8,8,10,13,9,7,11,8,9,3,5
Providencia,2016,102,73,94,90,100,104,104,95,96,80,90,79
Pudahuel,2016,92,73,84,99,85,95,120,117,93,77,86,85
Puente Alto,2016,218,177,174,207,207,210,276,227,234,216,197,165
Quilicura,2016,49,55,39,59,68,62,84,52,62,53,53,51
Quinta Normal,2016,69,54,52,64,81,76,92,76,88,54,43,57
Recoleta,2016,96,77,85,106,94,107,125,108,102,117,74,78
Renca,2016,63,49,64,85,77,71,91,80,80,66,67,66
San Bernardo,2016,120,106,126,130,124,153,163,145,137,117,115,112
San Joaquín,2016,51,63,55,61,61,59,81,54,50,63,58,49
San José de Maipo,2016,9,11,7,11,8,18,7,4,6,6,8,7
San Miguel,2016,58,64,39,81,80,80,88,90,72,81,52,42
San Pedro,2016,7,6,1,2,3,5,10,5,5,1,7,4
San Ramón,2016,55,44,44,52,55,49,62,61,41,58,55,44
Santiago,2016,126,103,112,116,134,113,169,146,137,128,144,104
Talagante,2016,36,24,31,32,36,36,31,31,29,24,34,23
Tiltil,2016,9,5,8,9,8,13,5,5,12,9,5,10
Vitacura,2016,39,31,41,33,40,42,38,48,33,54,32,34
