comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2003,1,NA,2,1,3,NA,2,1,2,2,2,4
Buin,2003,26,17,23,29,36,23,42,41,26,19,18,28
Calera de Tango,2003,8,3,6,7,5,4,7,7,6,4,9,8
Cerrillos,2003,34,26,31,26,29,28,39,41,41,27,33,38
Cerro Navia,2003,75,52,42,80,67,62,75,89,51,59,57,58
Colina,2003,25,21,24,22,30,21,25,29,18,12,22,23
Conchalí,2003,58,59,49,67,76,74,106,99,82,64,53,68
Curacaví,2003,5,13,8,9,9,7,14,8,10,6,11,10
El Bosque,2003,66,53,60,66,67,74,96,72,75,63,65,64
El Monte,2003,14,12,13,6,10,16,12,6,13,11,17,7
Estación Central,2003,62,48,69,60,76,88,92,89,58,71,63,53
Huechuraba,2003,29,27,21,28,26,27,28,31,25,29,21,19
Independencia,2003,84,56,50,72,95,68,82,79,81,89,62,67
Isla de Maipo,2003,5,8,9,11,11,13,16,15,10,14,12,10
La Cisterna,2003,42,46,38,46,60,45,62,47,58,44,48,36
La Florida,2003,137,125,104,128,144,129,164,161,118,135,121,122
La Granja,2003,50,44,46,44,59,51,56,68,54,56,44,56
La Pintana,2003,44,38,41,41,64,60,60,51,75,71,65,48
La Reina,2003,50,41,38,35,43,55,60,48,52,48,44,29
Lampa,2003,20,13,20,13,20,15,19,20,19,13,15,17
Las Condes,2003,113,104,101,96,99,129,131,115,104,107,115,92
Lo Barnechea,2003,25,12,17,18,16,25,21,20,19,19,15,19
Lo Espejo,2003,55,44,49,58,62,80,63,64,64,57,51,51
Lo Prado,2003,33,33,43,47,45,58,58,58,49,47,38,39
Macul,2003,62,33,45,57,59,56,64,69,62,49,54,57
Maipú,2003,107,94,94,110,134,120,151,148,121,131,109,117
María Pinto,2003,3,1,2,4,5,5,8,4,1,2,3,4
Melipilla,2003,54,38,39,43,50,35,49,52,52,42,29,44
Ñuñoa,2003,112,100,90,98,108,118,121,120,94,104,113,103
Padre Hurtado,2003,14,10,10,16,11,11,21,12,10,12,9,13
Paine,2003,15,28,13,16,20,10,27,18,25,18,15,23
Pedro Aguirre Cerda,2003,70,46,71,72,58,64,91,91,66,54,52,64
Peñaflor,2003,20,23,19,23,26,30,39,33,26,19,24,28
Peñalolén,2003,65,62,59,56,101,85,95,94,80,69,84,57
Pirque,2003,6,3,5,4,8,6,10,5,7,7,7,6
Providencia,2003,92,87,78,75,107,96,103,110,117,76,88,70
Pudahuel,2003,59,64,55,56,76,54,81,77,54,48,55,66
Puente Alto,2003,121,104,107,114,172,104,149,141,139,123,131,124
Quilicura,2003,28,19,30,21,17,27,30,32,23,29,29,24
Quinta Normal,2003,75,56,46,64,69,86,80,106,64,56,57,60
Recoleta,2003,91,85,95,90,95,89,111,106,87,78,91,98
Renca,2003,54,51,50,45,62,66,64,60,54,57,50,52
San Bernardo,2003,88,71,106,109,106,106,113,117,104,97,102,97
San Joaquín,2003,56,36,59,43,51,50,80,51,50,49,46,53
San José de Maipo,2003,5,3,9,12,7,10,10,17,6,3,13,4
San Miguel,2003,70,60,53,64,76,73,93,101,62,59,64,65
San Pedro,2003,1,1,3,NA,NA,1,1,1,1,2,2,2
San Ramón,2003,40,36,43,45,43,40,57,65,36,55,45,36
Santiago,2003,100,109,103,121,146,142,132,157,124,121,108,107
Talagante,2003,25,16,13,25,32,18,26,30,20,24,14,20
Tiltil,2003,9,6,6,6,8,10,5,7,4,9,5,3
Vitacura,2003,27,29,31,26,44,30,27,42,33,49,31,34
