comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2020,4,4,7,3,2,NA,NA,NA,NA,NA,NA,NA
Buin,2020,34,29,35,44,51,NA,NA,NA,NA,NA,NA,NA
Calera de Tango,2020,9,8,13,12,12,NA,NA,NA,NA,NA,NA,NA
Cerrillos,2020,46,33,33,30,50,NA,NA,NA,NA,NA,NA,NA
Cerro Navia,2020,66,54,86,75,154,NA,NA,NA,NA,NA,NA,NA
Colina,2020,41,33,38,46,75,NA,NA,NA,NA,NA,NA,NA
Conchalí,2020,76,53,82,82,157,NA,NA,NA,NA,NA,NA,NA
Curacaví,2020,16,17,17,15,21,NA,NA,NA,NA,NA,NA,NA
El Bosque,2020,83,79,90,93,146,NA,NA,NA,NA,NA,NA,NA
El Monte,2020,12,11,18,11,29,NA,NA,NA,NA,NA,NA,NA
Estación Central,2020,55,60,61,70,139,NA,NA,NA,NA,NA,NA,NA
Huechuraba,2020,46,27,44,50,89,NA,NA,NA,NA,NA,NA,NA
Independencia,2020,80,48,69,79,165,NA,NA,NA,NA,NA,NA,NA
Isla de Maipo,2020,13,11,18,6,18,NA,NA,NA,NA,NA,NA,NA
La Cisterna,2020,51,34,54,54,95,NA,NA,NA,NA,NA,NA,NA
La Florida,2020,187,165,190,176,281,NA,NA,NA,NA,NA,NA,NA
La Granja,2020,73,69,66,64,126,NA,NA,NA,NA,NA,NA,NA
La Pintana,2020,87,79,81,84,175,NA,NA,NA,NA,NA,NA,NA
La Reina,2020,55,49,37,43,73,NA,NA,NA,NA,NA,NA,NA
Lampa,2020,35,24,36,37,69,NA,NA,NA,NA,NA,NA,NA
Las Condes,2020,168,126,133,153,215,NA,NA,NA,NA,NA,NA,NA
Lo Barnechea,2020,38,24,30,36,43,NA,NA,NA,NA,NA,NA,NA
Lo Espejo,2020,63,36,54,58,99,NA,NA,NA,NA,NA,NA,NA
Lo Prado,2020,47,52,46,56,103,NA,NA,NA,NA,NA,NA,NA
Macul,2020,56,47,58,64,122,NA,NA,NA,NA,NA,NA,NA
Maipú,2020,199,187,216,221,308,NA,NA,NA,NA,NA,NA,NA
María Pinto,2020,6,5,7,8,6,NA,NA,NA,NA,NA,NA,NA
Melipilla,2020,54,71,58,59,89,NA,NA,NA,NA,NA,NA,NA
Ñuñoa,2020,134,116,100,112,177,NA,NA,NA,NA,NA,NA,NA
Padre Hurtado,2020,29,18,23,24,37,NA,NA,NA,NA,NA,NA,NA
Paine,2020,30,29,29,30,33,NA,NA,NA,NA,NA,NA,NA
Pedro Aguirre Cerda,2020,60,54,56,79,113,NA,NA,NA,NA,NA,NA,NA
Peñaflor,2020,60,31,43,38,84,NA,NA,NA,NA,NA,NA,NA
Peñalolén,2020,113,92,84,102,198,NA,NA,NA,NA,NA,NA,NA
Pirque,2020,10,13,11,11,20,NA,NA,NA,NA,NA,NA,NA
Providencia,2020,100,76,79,81,114,NA,NA,NA,NA,NA,NA,NA
Pudahuel,2020,89,84,91,78,137,NA,NA,NA,NA,NA,NA,NA
Puente Alto,2020,183,189,211,187,366,NA,NA,NA,NA,NA,NA,NA
Quilicura,2020,71,64,61,57,107,NA,NA,NA,NA,NA,NA,NA
Quinta Normal,2020,58,58,65,62,124,NA,NA,NA,NA,NA,NA,NA
Recoleta,2020,95,72,82,96,242,NA,NA,NA,NA,NA,NA,NA
Renca,2020,75,60,52,65,113,NA,NA,NA,NA,NA,NA,NA
San Bernardo,2020,136,104,139,134,219,NA,NA,NA,NA,NA,NA,NA
San Joaquín,2020,73,49,48,60,98,NA,NA,NA,NA,NA,NA,NA
San José de Maipo,2020,8,2,6,4,9,NA,NA,NA,NA,NA,NA,NA
San Miguel,2020,64,73,80,66,112,NA,NA,NA,NA,NA,NA,NA
San Pedro,2020,5,5,6,7,5,NA,NA,NA,NA,NA,NA,NA
San Ramón,2020,57,49,58,61,114,NA,NA,NA,NA,NA,NA,NA
Santiago,2020,130,120,101,125,234,NA,NA,NA,NA,NA,NA,NA
Talagante,2020,30,34,35,42,44,NA,NA,NA,NA,NA,NA,NA
Tiltil,2020,12,5,8,7,12,NA,NA,NA,NA,NA,NA,NA
Vitacura,2020,40,41,32,46,58,NA,NA,NA,NA,NA,NA,NA
