comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2011,2,2,2,1,3,2,5,3,2,2,2,2
Buin,2011,30,31,32,21,46,34,32,38,35,42,28,27
Calera de Tango,2011,8,6,7,8,11,12,13,14,7,8,10,9
Cerrillos,2011,32,34,27,45,37,33,33,43,39,28,32,38
Cerro Navia,2011,83,65,57,73,73,98,100,78,65,71,60,68
Colina,2011,30,27,30,22,37,43,36,35,28,25,33,30
Conchalí,2011,54,70,78,74,85,91,98,80,61,59,69,76
Curacaví,2011,11,11,6,13,21,18,15,19,13,9,6,13
El Bosque,2011,91,68,67,63,66,101,102,87,69,96,68,89
El Monte,2011,13,13,16,9,17,12,20,22,19,17,16,11
Estación Central,2011,65,70,62,68,95,84,91,80,70,52,72,65
Huechuraba,2011,41,23,27,26,39,50,36,34,50,39,24,33
Independencia,2011,66,68,75,62,78,91,97,73,84,60,43,70
Isla de Maipo,2011,15,11,10,15,13,15,13,16,14,7,11,15
La Cisterna,2011,60,45,56,41,57,62,83,72,49,61,46,50
La Florida,2011,149,122,139,159,145,156,184,203,160,157,141,154
La Granja,2011,61,45,55,67,68,67,89,68,63,59,61,61
La Pintana,2011,83,49,78,65,90,91,87,78,61,82,57,74
La Reina,2011,44,36,41,38,41,50,68,57,55,38,39,55
Lampa,2011,23,17,26,15,27,29,41,36,13,34,19,30
Las Condes,2011,149,112,118,116,131,153,155,133,166,125,123,134
Lo Barnechea,2011,20,20,23,16,31,26,28,29,36,25,20,17
Lo Espejo,2011,77,48,54,53,62,75,87,72,58,57,71,57
Lo Prado,2011,72,48,40,49,54,52,53,65,48,40,57,44
Macul,2011,62,43,51,61,69,80,80,73,57,52,50,61
Maipú,2011,159,137,140,168,164,195,195,211,177,173,136,159
María Pinto,2011,8,1,7,4,4,9,9,8,2,5,4,5
Melipilla,2011,56,37,45,54,47,49,60,71,57,66,60,47
Ñuñoa,2011,114,92,90,103,108,113,140,146,127,108,99,105
Padre Hurtado,2011,17,16,10,18,20,8,29,20,24,15,13,16
Paine,2011,17,21,15,23,30,34,28,18,18,16,17,18
Pedro Aguirre Cerda,2011,77,47,58,61,71,81,86,95,84,71,76,70
Peñaflor,2011,30,20,31,24,33,39,50,41,39,34,43,28
Peñalolén,2011,96,76,69,95,100,98,106,104,86,86,96,90
Pirque,2011,6,9,7,9,7,13,11,7,10,7,9,11
Providencia,2011,83,84,82,98,94,122,108,95,86,96,75,86
Pudahuel,2011,78,63,56,76,69,85,86,90,85,68,77,70
Puente Alto,2011,171,156,150,185,180,172,212,200,216,165,161,198
Quilicura,2011,42,25,40,31,53,44,52,50,44,36,36,36
Quinta Normal,2011,57,62,62,67,79,94,84,88,63,55,73,63
Recoleta,2011,85,64,71,87,92,106,103,115,112,91,98,71
Renca,2011,55,54,60,63,69,76,90,70,74,62,65,52
San Bernardo,2011,112,96,112,100,119,139,143,124,114,113,113,139
San Joaquín,2011,55,49,53,55,59,67,70,60,66,63,41,55
San José de Maipo,2011,8,7,6,8,14,12,10,2,9,3,4,10
San Miguel,2011,64,65,59,61,77,75,91,74,71,78,62,71
San Pedro,2011,5,2,3,4,1,2,6,2,2,5,1,5
San Ramón,2011,60,47,48,58,54,57,55,56,53,45,40,39
Santiago,2011,114,93,112,108,123,132,171,152,137,130,123,117
Talagante,2011,34,23,24,23,20,36,38,32,20,21,24,23
Tiltil,2011,5,6,3,4,4,8,14,4,11,7,6,5
Vitacura,2011,27,48,40,35,37,52,43,32,50,46,40,35
