comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2019,2,NA,5,3,2,6,2,NA,4,3,4,5
Buin,2019,35,43,30,36,43,44,56,51,51,41,38,40
Calera de Tango,2019,13,2,15,14,11,11,6,10,7,13,11,6
Cerrillos,2019,27,26,26,45,39,35,58,45,36,36,33,41
Cerro Navia,2019,64,78,60,83,76,97,95,84,85,66,83,52
Colina,2019,41,35,35,52,32,53,54,45,52,44,45,39
Conchalí,2019,69,77,71,87,97,109,95,86,83,82,92,69
Curacaví,2019,14,9,12,18,18,25,18,20,12,20,23,21
El Bosque,2019,85,84,69,82,106,121,85,104,92,84,78,70
El Monte,2019,13,13,11,14,21,20,19,20,25,10,15,11
Estación Central,2019,71,49,59,77,86,89,109,90,87,72,67,51
Huechuraba,2019,41,41,29,43,46,46,52,52,41,44,37,40
Independencia,2019,76,63,56,58,71,74,75,75,53,69,74,82
Isla de Maipo,2019,16,7,12,17,18,27,22,15,6,12,18,10
La Cisterna,2019,51,52,47,62,64,61,86,81,71,75,64,59
La Florida,2019,158,168,185,180,202,207,224,213,199,159,166,158
La Granja,2019,74,45,67,59,78,82,97,79,68,69,54,54
La Pintana,2019,64,71,84,73,90,114,100,97,92,84,76,75
La Reina,2019,54,36,44,48,56,58,63,63,66,53,58,53
Lampa,2019,33,37,26,28,41,41,61,35,35,36,39,31
Las Condes,2019,133,132,159,162,177,163,173,184,166,157,153,136
Lo Barnechea,2019,27,33,27,29,26,41,34,30,27,32,25,41
Lo Espejo,2019,68,58,60,66,67,83,91,64,62,52,53,50
Lo Prado,2019,47,40,47,49,67,79,69,63,73,66,52,46
Macul,2019,74,49,67,58,66,85,83,66,71,73,51,52
Maipú,2019,202,155,196,203,247,237,235,242,203,200,190,161
María Pinto,2019,4,4,5,6,12,9,9,9,2,11,6,7
Melipilla,2019,79,54,72,69,70,91,83,70,76,82,64,48
Ñuñoa,2019,117,100,101,97,154,135,176,132,104,119,106,113
Padre Hurtado,2019,27,17,28,23,21,37,28,40,33,20,27,30
Paine,2019,20,14,34,25,29,31,41,27,37,36,30,21
Pedro Aguirre Cerda,2019,64,59,61,73,86,72,90,80,77,85,69,63
Peñaflor,2019,35,40,37,34,55,42,56,55,46,50,35,38
Peñalolén,2019,116,84,97,80,93,111,111,115,98,96,86,98
Pirque,2019,14,12,9,8,11,12,16,13,11,9,9,11
Providencia,2019,93,86,88,81,85,95,125,104,106,100,95,84
Pudahuel,2019,93,83,82,89,88,111,141,114,104,82,96,71
Puente Alto,2019,188,231,194,201,257,285,271,228,237,233,224,181
Quilicura,2019,52,67,46,60,62,75,66,62,61,64,58,67
Quinta Normal,2019,61,53,63,69,86,93,86,86,65,72,80,71
Recoleta,2019,99,95,84,74,98,106,126,124,111,93,83,80
Renca,2019,64,52,63,60,97,93,78,70,81,77,66,61
San Bernardo,2019,119,122,115,121,148,163,166,151,128,152,120,123
San Joaquín,2019,46,65,55,68,69,82,59,73,68,51,31,43
San José de Maipo,2019,7,8,9,6,7,17,11,9,8,10,15,10
San Miguel,2019,73,67,63,52,74,109,112,83,70,72,73,73
San Pedro,2019,5,2,2,2,9,4,9,8,3,8,6,5
San Ramón,2019,47,50,41,60,65,61,68,47,55,56,53,57
Santiago,2019,126,100,132,132,140,184,167,164,146,118,130,121
Talagante,2019,35,28,37,31,42,39,39,40,30,37,38,28
Tiltil,2019,4,7,3,8,9,7,12,8,9,12,9,5
Vitacura,2019,46,32,39,41,34,58,49,43,39,35,41,38
