comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2001,3,1,NA,3,5,4,NA,1,NA,1,3,6
Buin,2001,21,16,32,23,21,32,27,21,15,30,20,30
Calera de Tango,2001,7,6,3,2,6,3,9,4,3,3,1,4
Cerrillos,2001,30,25,24,23,35,51,42,30,37,28,24,23
Cerro Navia,2001,63,42,58,62,60,79,70,55,71,62,63,52
Colina,2001,24,27,21,17,30,27,31,25,14,14,26,23
Conchalí,2001,87,47,58,60,82,96,121,85,68,79,63,59
Curacaví,2001,10,9,4,6,14,9,13,11,14,8,9,5
El Bosque,2001,61,65,69,72,74,77,75,71,75,83,63,70
El Monte,2001,10,5,8,12,11,19,21,14,11,11,10,16
Estación Central,2001,73,64,82,75,78,101,106,84,61,56,74,101
Huechuraba,2001,20,28,25,25,26,22,39,20,29,18,34,27
Independencia,2001,52,51,48,54,59,90,92,74,56,45,57,58
Isla de Maipo,2001,12,9,12,3,14,14,15,4,12,6,9,8
La Cisterna,2001,42,50,36,45,49,50,62,59,39,45,41,44
La Florida,2001,92,102,111,103,135,156,141,149,136,125,111,126
La Granja,2001,51,66,52,38,72,70,74,50,47,48,49,49
La Pintana,2001,59,45,39,57,50,67,59,50,59,50,50,54
La Reina,2001,47,29,35,30,49,57,65,42,62,53,26,51
Lampa,2001,12,12,13,9,15,18,32,25,16,16,7,17
Las Condes,2001,97,90,103,102,115,111,140,125,106,98,98,122
Lo Barnechea,2001,12,15,16,15,16,20,17,22,17,10,9,25
Lo Espejo,2001,66,50,49,49,56,69,59,71,69,67,54,69
Lo Prado,2001,39,28,39,35,54,49,54,52,64,53,43,45
Macul,2001,42,63,48,47,50,81,65,59,47,49,43,36
Maipú,2001,109,77,104,106,114,128,131,134,134,121,102,125
María Pinto,2001,2,5,1,2,5,4,2,5,4,4,4,3
Melipilla,2001,31,29,25,50,49,42,53,51,38,37,36,49
Ñuñoa,2001,113,82,84,101,123,146,129,118,102,102,95,100
Padre Hurtado,2001,11,6,13,11,12,12,13,9,12,8,14,14
Paine,2001,17,22,18,21,26,23,28,16,21,21,15,21
Pedro Aguirre Cerda,2001,57,49,46,61,67,84,89,91,64,67,52,67
Peñaflor,2001,17,17,18,20,20,29,30,17,25,14,27,22
Peñalolén,2001,58,58,76,73,64,82,81,75,58,83,56,61
Pirque,2001,5,3,2,4,7,6,10,6,6,2,7,5
Providencia,2001,84,79,75,72,79,97,106,101,95,81,87,102
Pudahuel,2001,65,53,50,53,60,65,63,61,78,70,60,61
Puente Alto,2001,96,95,113,107,149,135,128,149,129,126,103,113
Quilicura,2001,23,25,18,19,23,34,24,24,30,18,29,30
Quinta Normal,2001,65,72,58,76,77,92,88,87,75,62,61,67
Recoleta,2001,92,72,91,69,97,110,121,96,94,71,75,80
Renca,2001,39,46,34,42,47,68,56,61,56,53,50,50
San Bernardo,2001,81,81,70,78,112,111,104,112,80,69,79,82
San Joaquín,2001,55,32,57,48,59,73,71,62,63,53,46,71
San José de Maipo,2001,3,4,5,8,7,6,8,3,9,4,6,6
San Miguel,2001,63,36,70,50,57,106,62,60,60,65,53,61
San Pedro,2001,3,2,3,NA,2,2,4,4,2,1,4,1
San Ramón,2001,38,45,39,43,49,54,48,43,54,50,30,39
Santiago,2001,98,119,91,135,132,155,155,118,150,132,146,142
Talagante,2001,17,19,13,19,24,33,24,26,22,16,21,17
Tiltil,2001,5,5,5,3,6,13,7,4,3,4,5,6
Vitacura,2001,27,17,29,23,24,28,32,35,24,30,38,37
