comuna,año,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
Alhué,2012,5,NA,3,2,3,6,1,1,2,3,3,2
Buin,2012,37,29,32,28,39,24,32,31,32,41,32,25
Calera de Tango,2012,5,6,9,8,11,15,8,9,13,18,9,6
Cerrillos,2012,43,40,23,38,28,29,41,29,25,48,28,33
Cerro Navia,2012,68,73,64,74,87,99,96,92,67,66,57,69
Colina,2012,35,26,29,36,31,36,35,34,40,41,22,26
Conchalí,2012,63,79,71,82,72,89,101,111,65,79,80,81
Curacaví,2012,4,10,21,7,11,15,16,19,15,8,13,11
El Bosque,2012,72,65,76,68,99,105,112,105,86,92,83,71
El Monte,2012,9,8,9,12,21,19,12,19,9,20,14,15
Estación Central,2012,63,64,47,64,87,98,84,76,82,88,74,73
Huechuraba,2012,28,27,41,35,29,40,36,28,40,29,30,34
Independencia,2012,79,64,61,71,71,95,106,99,85,70,61,69
Isla de Maipo,2012,11,10,9,12,15,11,14,18,9,17,13,18
La Cisterna,2012,62,48,48,30,58,65,82,76,62,65,48,44
La Florida,2012,139,134,159,143,144,175,172,187,190,158,126,155
La Granja,2012,55,53,50,45,70,79,75,78,77,57,40,55
La Pintana,2012,78,66,56,68,58,83,85,84,79,69,73,55
La Reina,2012,32,39,44,44,52,58,69,67,51,53,48,47
Lampa,2012,28,18,30,21,20,23,30,23,31,25,23,27
Las Condes,2012,125,116,149,116,154,171,152,124,153,135,131,130
Lo Barnechea,2012,37,15,19,32,23,21,34,27,30,15,21,28
Lo Espejo,2012,58,48,58,60,69,70,77,56,65,75,65,59
Lo Prado,2012,45,28,55,50,57,48,71,60,56,39,57,45
Macul,2012,69,40,63,60,57,64,83,72,59,65,60,41
Maipú,2012,162,161,156,168,156,181,210,213,174,191,154,149
María Pinto,2012,3,9,4,5,6,7,8,9,6,7,9,3
Melipilla,2012,50,40,45,58,60,53,77,59,63,58,53,63
Ñuñoa,2012,123,97,99,96,141,116,131,136,107,118,94,100
Padre Hurtado,2012,18,24,16,17,21,33,20,21,27,18,19,19
Paine,2012,22,18,20,25,29,22,26,33,21,15,27,28
Pedro Aguirre Cerda,2012,71,65,64,67,82,90,88,114,70,70,71,50
Peñaflor,2012,34,22,44,40,23,38,50,40,35,34,39,29
Peñalolén,2012,81,85,79,82,111,115,98,101,91,105,103,103
Pirque,2012,7,10,9,6,13,9,13,10,10,16,5,5
Providencia,2012,88,72,80,75,93,79,124,92,100,90,81,70
Pudahuel,2012,92,75,61,60,85,79,100,91,88,93,72,83
Puente Alto,2012,161,150,180,179,182,205,228,200,185,180,170,180
Quilicura,2012,44,52,36,44,49,61,56,58,56,51,46,35
Quinta Normal,2012,59,66,58,63,77,73,109,90,62,66,51,66
Recoleta,2012,89,97,76,88,99,92,132,128,97,95,89,95
Renca,2012,51,43,61,56,57,75,71,64,55,63,63,65
San Bernardo,2012,136,105,99,108,129,155,152,159,119,122,117,119
San Joaquín,2012,56,51,74,53,61,67,73,80,50,68,44,52
San José de Maipo,2012,10,4,4,9,4,6,11,8,7,5,8,7
San Miguel,2012,71,46,69,62,69,85,89,92,90,71,56,66
San Pedro,2012,5,5,7,6,3,5,5,1,2,6,8,3
San Ramón,2012,42,44,45,41,43,66,67,77,52,60,55,58
Santiago,2012,122,104,123,137,123,134,158,137,116,135,113,126
Talagante,2012,25,26,35,35,20,24,31,32,36,29,25,38
Tiltil,2012,8,4,8,4,8,5,5,2,9,14,10,6
Vitacura,2012,46,33,27,49,37,37,43,44,32,39,41,41
